STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,ADJUSTMENT,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,BASE_PER,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2021-Q4,,9.498824376,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P6,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2021-Q4,,9.285757496,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2021-Q4,,4.477946929,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P6,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2022-Q1,,13.452984522,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2022-Q1,,2.246818043,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2022-Q1,,8.343766867,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1M,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2022-Q1,,-1.249456729,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S13,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2022-Q1,,10.760754413,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S13,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2022-Q2,,11.823353612,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1M,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2022-Q2,,1.594892944,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2022-Q2,,7.455149363,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2022-Q2,,2.277324737,,2019-Q4,,,,F,,1,,A,,0,,_Z,
