country_code,quarter,gdp_index
CHE,2021-Q3,100.064580229
SVN,2021-Q3,108.566212368
AUT,2021-Q3,103.368541067
BEL,2021-Q3,100.52370617
GBR,2021-Q3,97.522673379
IRL,2021-Q3,100.467560751
CHL,2021-Q3,121.72492892
NOR,2021-Q3,101.289462387
LVA,2021-Q3,106.602213471
CAN,2021-Q3,100.560364912
NZL,2021-Q3,99.951176643
COL,2021-Q3,108.122473199
POL,2021-Q3,102.572663576
LTU,2021-Q3,105.423208235
OECD,2021-Q3,102.299298432
PRT,2021-Q3,99.48279709
PRT,2021-Q4,100.550937107
OECD,2021-Q4,103.87595143
LTU,2021-Q4,106.792877398
POL,2021-Q4,104.351410698
COL,2021-Q4,114.97993886
NZL,2021-Q4,105.231422713
CAN,2021-Q4,101.599860215
LVA,2021-Q4,107.278350292
NOR,2021-Q4,103.280099759
CHL,2021-Q4,122.616479117
IRL,2021-Q4,101.854592397
GBR,2021-Q4,97.764977121
BEL,2021-Q4,100.098598515
AUT,2021-Q4,99.216996479
SVN,2021-Q4,108.767916477
CHE,2021-Q4,100.383440039
CZE,2021-Q4,98.507769276
SWE,2021-Q4,104.39907882
LUX,2021-Q4,105.216872187
ESP,2021-Q4,95.446675141
DNK,2021-Q4,107.458505677
HUN,2021-Q4,107.278105242
FIN,2021-Q4,100.104436883
ITA,2021-Q4,97.959173796
USMCA,2021-Q4,105.680908413
GRC,2021-Q4,102.958281094
DEU,2021-Q4,97.80934174
CRI,2021-Q4,102.520431434
FRA,2021-Q4,101.16158935
USA,2021-Q4,106.8075706
USA,2022-Q1,106.906598768
FRA,2022-Q1,100.166057349
CRI,2022-Q1,102.690085458
USMCA,2022-Q1,106.048122596
ITA,2022-Q1,98.661799083
FIN,2022-Q1,99.157767072
HUN,2022-Q1,110.159038036
DNK,2022-Q1,100.246986113
LUX,2022-Q1,107.192045874
SWE,2022-Q1,103.953803589
CZE,2022-Q1,98.55236592
CHE,2022-Q1,101.753056962
SVN,2022-Q1,108.459330149
AUT,2022-Q1,101.490872021
BEL,2022-Q1,99.440067538
GBR,2022-Q1,99.243476483
IRL,2022-Q1,102.869697611
CHL,2022-Q1,122.063240733
NOR,2022-Q1,101.252211756
LVA,2022-Q1,107.649978263
CAN,2022-Q1,103.641069108
NZL,2022-Q1,110.201640465
COL,2022-Q1,116.242659524
POL,2022-Q1,106.556351829
LTU,2022-Q1,107.153540066
OECD,2022-Q1,104.38787063
PRT,2022-Q1,101.955200942
PRT,2022-Q2,101.426309478
OECD,2022-Q2,105.598468212
LTU,2022-Q2,106.204092209
POL,2022-Q2,107.670183966
COL,2022-Q2,118.476190447
NZL,2022-Q2,108.114441949
CAN,2022-Q2,105.654305736
LVA,2022-Q2,107.954675518
NOR,2022-Q2,104.997262987
CHL,2022-Q2,118.743698213
IRL,2022-Q2,105.696439165
GBR,2022-Q2,101.167100275
BEL,2022-Q2,100.444480846
AUT,2022-Q2,102.48028099
SVN,2022-Q2,108.52631244
CHE,2022-Q2,102.718137017
CZE,2022-Q2,98.239108283
SWE,2022-Q2,105.60007671700001
LUX,2022-Q2,108.454593462
DNK,2022-Q2,101.444294324
HUN,2022-Q2,111.136246527
FIN,2022-Q2,101.293669777
ITA,2022-Q2,100.934153218
USMCA,2022-Q2,107.012601242
CRI,2022-Q2,102.750278329
FRA,2022-Q2,101.597471092
USA,2022-Q2,107.780967647
USA,2022-Q3,108.286947212
FRA,2022-Q3,102.400176855
CRI,2022-Q3,103.292577292
USMCA,2022-Q3,107.462561015
ITA,2022-Q3,101.198219405
FIN,2022-Q3,100.643465957
HUN,2022-Q3,110.383130666
DNK,2022-Q3,100.794108801
LUX,2022-Q3,109.706856513
SWE,2022-Q3,104.432284816
CZE,2022-Q3,96.809583143
CHE,2022-Q3,103.449661407
SVN,2022-Q3,108.418507928
AUT,2022-Q3,102.914241456
BEL,2022-Q3,101.26760519
GBR,2022-Q3,101.219744347
IRL,2022-Q3,108.444315575
CHL,2022-Q3,116.964334759
NOR,2022-Q3,105.242117744
LVA,2022-Q3,108.635310498
CAN,2022-Q3,105.509922873
NZL,2022-Q3,108.87608632
COL,2022-Q3,119.726798995
POL,2022-Q3,105.86501657
LTU,2022-Q3,106.226097103
OECD,2022-Q3,106.209245414
PRT,2022-Q3,102.858157279
PRT,2022-Q4,103.682676227
OECD,2022-Q4,106.283562269
LTU,2022-Q4,105.319883788
POL,2022-Q4,105.430973264
COL,2022-Q4,120.172044888
NZL,2022-Q4,109.593789669
CAN,2022-Q4,105.396194546
LVA,2022-Q4,108.957152567
NOR,2022-Q4,110.747261284
CHL,2022-Q4,114.343447423
IRL,2022-Q4,110.065140024
GBR,2022-Q4,101.584022524
BEL,2022-Q4,100.630494977
AUT,2022-Q4,101.719910158
SVN,2022-Q4,108.27072885
CHE,2022-Q4,103.331841917
CZE,2022-Q4,94.81381577
SWE,2022-Q4,103.657382824
LUX,2022-Q4,109.679638643
DNK,2022-Q4,99.450875333
HUN,2022-Q4,109.030936051
FIN,2022-Q4,99.656368965
ITA,2022-Q4,99.930567681
USMCA,2022-Q4,107.769533881
CRI,2022-Q4,104.406508079
FRA,2022-Q4,101.910937798
USA,2022-Q4,108.502305867
USA,2023-Q1,109.702325066
FRA,2023-Q1,102.000538386
CRI,2023-Q1,106.224756627
USMCA,2023-Q1,108.925876793
ITA,2023-Q1,101.356219814
HUN,2023-Q1,106.755870396
DNK,2023-Q1,99.073641313
LUX,2023-Q1,112.452908566
SWE,2023-Q1,102.510058411
CZE,2023-Q1,93.86890749
CHE,2023-Q1,103.460350047
SVN,2023-Q1,107.883002742
AUT,2023-Q1,102.462474404
BEL,2023-Q1,101.179559551
GBR,2023-Q1,100.975090423
IRL,2023-Q1,111.333550812
CHL,2023-Q1,112.565360009
NOR,2023-Q1,103.775941998
LVA,2023-Q1,108.482820567
CAN,2023-Q1,106.159492484
NZL,2023-Q1,110.279757836
COL,2023-Q1,119.430666897
POL,2023-Q1,104.755194399
LTU,2023-Q1,105.420280238
OECD,2023-Q1,106.963262497
PRT,2023-Q1,104.640964805
PRT,2023-Q2,104.784060349
OECD,2023-Q2,107.363766584
LTU,2023-Q2,105.603396586
POL,2023-Q2,105.08395476
COL,2023-Q2,119.109402086
NZL,2023-Q2,110.997461185
CAN,2023-Q2,106.147920396
LVA,2023-Q2,107.58853483
NOR,2023-Q2,104.500739334
CHL,2023-Q2,112.422624652
IRL,2023-Q2,111.715525698
GBR,2023-Q2,101.082023695
BEL,2023-Q2,101.541192444
AUT,2023-Q2,102.404391956
SVN,2023-Q2,108.056735716
CHE,2023-Q2,104.165507561
CZE,2023-Q2,95.07720625
SWE,2023-Q2,102.872891169
LUX,2023-Q2,112.517427974
DNK,2023-Q2,98.160066801
HUN,2023-Q2,107.124280746
FIN,2023-Q2,100.970252333
ITA,2023-Q2,101.005000244
USMCA,2023-Q2,109.386487524
CRI,2023-Q2,107.512717611
FRA,2023-Q2,101.983364188
USA,2023-Q2,110.112688787
USA,2023-Q3,110.949394681
FRA,2023-Q3,102.659143305
CRI,2023-Q3,109.491178485
USMCA,2023-Q3,110.25172041100001
ITA,2023-Q3,100.588704162
FIN,2023-Q3,99.875349527
HUN,2023-Q3,107.750224495
DNK,2023-Q3,96.810330739
LUX,2023-Q3,113.007429976
SWE,2023-Q3,102.497749292
CZE,2023-Q3,94.450285554
CHE,2023-Q3,104.525638617
SVN,2023-Q3,108.625999389
AUT,2023-Q3,101.373508594
BEL,2023-Q3,101.399594896
GBR,2023-Q3,99.883666002
IRL,2023-Q3,110.322748971
CHL,2023-Q3,111.98172326299999
NOR,2023-Q3,104.501875024
LVA,2023-Q3,107.218249241
CAN,2023-Q3,106.35606469300001
NZL,2023-Q3,109.51323113
COL,2023-Q3,118.921596063
POL,2023-Q3,107.909701246
LTU,2023-Q3,106.373934238
OECD,2023-Q3,107.694007998
PRT,2023-Q3,104.32529454
PRT,2023-Q4,106.05958862
OECD,2023-Q4,108.18126391
LTU,2023-Q4,106.976726855
POL,2023-Q4,106.823654479
COL,2023-Q4,118.959053903
NZL,2023-Q4,110.106434918
CAN,2023-Q4,106.761547564
LVA,2023-Q4,107.147055873
NOR,2023-Q4,104.496423712
CHL,2023-Q4,112.292542459
IRL,2023-Q4,112.823238888
GBR,2023-Q4,99.682490441
BEL,2023-Q4,101.96803266
AUT,2023-Q4,101.739553272
SVN,2023-Q4,109.768147801
CHE,2023-Q4,104.882966435
CZE,2023-Q4,95.140722682
SWE,2023-Q4,103.484768896
LUX,2023-Q4,113.549597889
DNK,2023-Q4,97.678221777
HUN,2023-Q4,109.03111829
FIN,2023-Q4,99.868611663
