magnitude,longitude,latitude
7.6,139.232,38.384
7.8,-27.655,-56.323
7.0,139.026,40.349
9.2,-147.339,60.908
7.6,-176.844,-24.749
7.04,108.045,-4.813
7.63,-71.483,-9.127
8.1,129.605,-6.957
7.8,150.547,44.726
8.5,149.483,44.872
7.0,149.225,44.647
7.21,165.36,-10.466
7.4,165.642,-10.522
7.03,-178.684,-17.628
7.67,-69.414,-13.866
7.07,128.043,-1.05
7.13,128.07,-0.975
7.3,-177.675,-29.992
7.65,154.783,46.636
7.5,146.308,-7.523
7.2,122.094,24.411
7.15,-63.21,-25.802
7.0,49.843,35.656
7.18,-82.729,7.512
7.47,-177.459,-20.088
7.1,128.218,-7.351
7.0,-99.741,16.96
7.1,143.734,42.506
7.3,142.789,38.022
7.1,-72.885,-37.845
7.1,-27.345,-56.332
7.3,-26.801,-59.274
7.2,-70.925,-10.688
7.6,-70.775,-10.75
7.02,145.101,43.056
7.33,168.29,-18.307
7.03,131.683,29.692
7.04,77.712,39.762
7.54,131.475,31.739
7.03,141.815,36.226
7.2,141.758,36.121
7.3,-70.297,-24.732
7.2,-176.248,-24.678
7.6,-80.918,-6.775
7.4,-75.031,-38.467
7.0,-72.917,-38.154
7.7,-72.889,-45.785
9.5,-73.407,-38.143
7.8,-73.039,-38.061
7.14,-73.017,-37.775
8.1,-73.353,-37.824
7.01,143.316,39.635
7.95,143.228,39.869
7.1,-74.867,-15.008
7.31,-177.209,-28.84
7.2,-111.2001,44.7925
7.01,156.328,-7.776
7.22,121.105,22.078
7.1,-68.862,-20.407
7.9,159.732,53.257
7.0,148.754,44.215
8.3,148.485,44.479
7.5,-69.388,-13.428
7.8,-136.712,58.23
7.15,124.327,24.945
7.6,-79.489,1.011
7.0,-72.242,-16.625
7.8,166.684,-12.418
8.1,99.368,45.189
7.7,-66.713,-20.948
7.6,161.134,55.75
7.4,-178.349,-20.541
7.25,127.005,5.327
7.6,-99.092,17.055
7.4,116.409,56.177
7.1,136.592,-1.723
7.09,31.09,40.73
7.3,28.699,36.405
7.1,28.829,36.493
7.08,-173.381,-15.02
7.07,-165.771,53.778
7.18,-178.87,51.419
7.14,-176.733,51.196
7.11,-177.243,51.481
7.06,-169.191,52.691
8.6,-175.626,51.499
7.1,-86.556,11.682
7.7,25.957,36.664
7.27,67.607,35.155
7.6,-178.803,-15.434
7.3,138.102,30.206
7.31,152.855,-5.062
7.2,142.412,24.319
7.05,93.869,6.828
7.09,101.759,29.957
7.37,123.157,7.658
7.0,91.653,-9.101
7.16,160.884,54.252
7.52,-175.599,-28.336
7.0,162.851,-50.075
7.1,-118.0,39.2
7.2,143.022,23.988
7.21,-113.024,29.112
7.1,58.0,12.185
7.8,-3.612,36.988
7.2,143.467,24.057
7.32,-80.636,-3.552
7.9,141.625,34.006
7.11,166.464,-13.082
7.2,169.635,-19.092
7.55,-72.866,-37.093
7.38,152.868,-4.449
7.3,-61.216,13.809
7.3,27.648,40.175
7.0,170.973,53.631
9.0,159.779,52.623
7.4,91.601,30.648
7.5,-118.998,34.9581667
7.34,127.099,9.669
8.1,143.899,42.084
7.02,126.493,-7.78
7.53,57.47,-34.229
7.81,121.214,23.092
7.34,121.249,23.046
7.7,91.261,31.056
7.02,154.05,47.297
7.23,121.343,23.917
7.48,121.4,23.487
7.1,139.405,28.359
7.1,-98.482,16.739
7.8,-175.874,-19.705
8.2,-67.912,-23.977
7.9,167.654,-18.373
7.7,129.183,-6.823
7.17,-91.917,14.31
7.3,128.233,-4.199
7.5,-85.046,10.481
7.2,138.151,-2.077
8.6,96.445,28.363
7.1,-62.838,-27.507
7.07,169.723,-20.253
7.7,143.491,45.882
